ID	Value
htd12001	गोरनगोरो\N_NNP नेशनल\N_NNP पार्क\N_NNP से\PSP लौटती\N_NN बार\N_NN हमारा\PR_PRP कार्यक्रम\N_NN प्रसिद्ध\JJ लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP देखने\V_VM का\PSP था\V_VAUX ।\RD_PUNC
htd12002	इससे\DM_DMD पूर्व\N_NST गोरनगोरो\N_NNP संरक्षित\JJ क्षेत्र\N_NN में\PSP स्थित\N_NN पुरातत्त्व\JJ की\PSP दृष्‍टि\N_NN से\PSP विश्‍व\N_NNP के\PSP सर्वाधिक\RB महत्त्वपूर्ण\JJ स्थलों\N_NN में\PSP से\PSP ओल्दूवाई\N_NNP घाटी\N_NNP को\PSP देखने\N_NN का\PSP लोभ\N_NN हम\PR_PRP संवरण\N_NN न\RP_NEG कर\V_VM सके\V_VAUX ।\RD_PUNC
htd12003	ओल्दूवाई\N_NNP घाटी\N_NNP में\PSP मानव\N_NN के\PSP लगभग\QT_QTF 1,75,0000\QT_QTC वर्ष\N_NN पुराने\JJ पूर्वज\N_NN की\PSP खोपड़ी\N_NN मिली\V_VM थी\V_VAUX जिसका\PR_PRL श्रेय\N_NN डॉ.\N_NNP लीके\N_NNP को\PSP है\V_VM ।\RD_PUNC
htd12004	डॉ.\N_NNP लीके\N_NNP की\PSP पुरातत्त्विक\JJ खोजों\N_NN की\PSP विश्‍वभर\N_NN में\PSP ख्याति\V_VM है\V_VAUX ।\RD_PUNC
htd12005	वह\PR_PRP खोपड़ी\N_NN आजकल\N_NN दारेस्सलाम\N_NNP के\PSP राष्‍ट्रीय\N_NNP संग्रहालय\N_NNP में\PSP संग्रहीत\V_VM है\V_VAUX ।\RD_PUNC
htd12006	इसी\DM_DMD क्षेत्र\N_NN में\PSP वर्षों\N_NN पूर्व\N_NN विलुप्‍त\N_NN हुए\N_NN पशुओं\N_NN के\PSP खोजे\V_VM गए\V_VAUX जीवाष्मीय\N_NN अवशेष\N_NN ओल्दूवाई\N_NNP घाटी\N_NNP के\PSP निकट\N_NST बने\N_NN संग्रहालय\N_NN में\PSP संग्रहीत\V_VM हैं\V_VAUX ।\RD_PUNC
htd12007	यह\DM_DMD संग्रहालय\N_NN देखकर\N_NN हम\PR_PRP लाखों\N_NN वर्ष\N_NN पूर्व\N_NST वातावरण\N_NN में\PSP डूबने\V_VM लगे\V_VAUX ।\RD_PUNC
htd12008	जीवाष्मों\N_NN को\PSP देखने\N_NN का\PSP हम\PR_PRP सभी\QT_QTF ने\PSP भरपूर\N_NN आनंद\V_VM लिया\V_VAUX ।\RD_PUNC
htd12009	अब\N_NN हमें\PR_PRP लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP में\PSP प्रविष्‍टि\N_NN की\PSP चिंता\N_NN सताने\V_VM लगी\V_VAUX थी\V_VAUX ।\RD_PUNC
htd12010	दिन\N_NN ढल\V_VM रहा\V_VAUX था\V_VAUX और\CC_CCD समय\N_NN कम\JJ था\V_VM ।\RD_PUNC
htd12011	फिर\CC_CCS भी\RP_RPD लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP का\PSP अवलोकन\N_NN करने\N_NN की\PSP इच्छा\N_NN बलवती\V_VM हो\V_VAUX रही\V_VAUX थी\V_VAUX ।\RD_PUNC
htd12012	गोरनगोरो\N_NNP पार्क\N_NNP से\PSP 19\QT_QTC किलोमीटर\QT_QTF नीचे\N_NST की\PSP तरफ\N_NN होने\N_NN के\PSP कारण\N_NN मनयारा\N_NNP पार्क\N_NNP को\PSP देखने\N_NN का\PSP सुअवसर\N_NN हम\PR_PRP निश्‍चित\V_VAUX तौर\N_NN पर\PSP नहीं\RP_NEG गँवाना\V_VM चाहते\V_VAUX थे\V_VAUX ।\RD_PUNC
htd12013	अभी\N_NN अंतिम\JJ प्रविष्‍टि\N_NN में\PSP आधा\QT_QTF घंटा\QT_QTF शेष\N_NN था\V_VM ।\RD_PUNC
htd12014	हम\PR_PRP समय\N_NN रहते\N_NN ड्राइवर\N_NN की\PSP कृपा\N_NN से\PSP लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP पहुँच\V_VM गए\V_VAUX थे\V_VAUX ।\RD_PUNC
htd12015	जैसे\DM_DMR ही\RP_RPD जीप\N_NN ने\PSP लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP में\PSP प्रवेश\V_VM किया\V_VAUX हमने\PR_PRP राहत\N_NN की\PSP साँस\V_VM ली\V_VAUX ।\RD_PUNC
htd12016	लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP ’\N_NN आरूशा\N_NNP ’\N_NN के\PSP दक्षिण\N_NST पश्‍चिम\N_NST में\PSP लगभग\QT_QTF 120\QT_QTC कि.मी.\QT_QTF दूर\N_NST स्थित\N_NN है\V_VM ।\RD_PUNC
htd12017	यहाँ\DM_DMD से\PSP विशाल\JJ रिफ्ट\N_NNP वैली\N_NNP की\PSP 305\QT_QTC मीटर\QT_QTF ऊँची\JJ पश्‍चिमी\N_NST दीवार\N_NN का\PSP सुंदर\JJ नजारा\N_NN देखा\V_VM जा\V_VAUX सकता\V_VAUX है\V_VAUX ।\RD_PUNC
htd12018	वास्तव\CC_CCS में\PSP विशाल\JJ रिफ्ट\N_NNP वैली\N_NNP ,\RD_PUNC पृथ्वी\N_NNP की\PSP ऊपरी\N_NST सतहों\N_NN में\PSP आए\N_NN अपभ्रंश\N_NN का\PSP वह\PR_PRP भाग\N_NN है\V_VM जो\PR_PRL टर्की\N_NNP से\PSP कीनिया\N_NNP तक\PSP विस्तृत\JJ क्षेत्र\N_NN में\PSP फैला\V_VM हुआ\V_VAUX है\V_VAUX ।\RD_PUNC
htd12019	यह\DM_DMD अपभ्रंश\N_NN कीनिया\N_NNP में\PSP पूर्वी\N_NST व\CC_CCD पश्‍चिमी\N_NST भाग\N_NN में\PSP विभक्‍त\V_VM हो\V_VAUX जाता\V_VAUX है\V_VAUX ।\RD_PUNC
htd12020	लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP पूर्वी\N_NST भाग\N_NN में\PSP स्थित\N_NN है\V_VM ।\RD_PUNC
htd12021	मनयारा\N_NNP शब्द\N_NN की\PSP उत्पत्ति\V_VM ’\N_NN यूफोरबिया\N_NNP तिरूरविया\N_NNP तिरूक्काली\N_NNP ’\N_NN नामक\N_NN पौधे\N_NN से\PSP मानी\V_VM जाती\V_VAUX है\V_VAUX ।\RD_PUNC
htd12022	इस\DM_DMD पौधे\N_NN का\PSP प्रयोग\N_NN मसाई\N_NNP जनजाति\N_NNP के\PSP लोग\N_NN अपने\PR_PRF घरों\N_NN के\PSP चारों\N_NST तरफ\N_NST बाड़\N_NN बनाने\N_NN के\PSP लिए\PSP इस्तेमाल\V_VM करते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12023	कभी\PR_PRI मनयारा\N_NNP व्यावसायिक\JJ शिकारियों\N_NN की\PSP मनपसंद\JJ शिकारगाह\N_NN थी\V_VM ,\RD_PUNC परंतु\CC_CCS अब\N_NN यह\DM_DMD एक\QT_QTC सुंदर\JJ नेशनल\N_NN पार्क\N_NN में\PSP परिणत\V_VM हो\V_VAUX चुकी\V_VAUX है\V_VAUX ।\RD_PUNC
htd12024	यद्यपि\CC_CCS क्षेत्रफल\N_NN की\PSP दृष्‍टि\N_NN से\PSP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP मात्र\N_NN 324\QT_QTC वर्ग\QT_QTF किलोमीटर\QT_QTF में\PSP फैला\V_VM हुआ\V_VAUX है\V_VAUX लेकिन\CC_CCS यहाँ\DM_DMD की\PSP वैविध्यपूर्ण\JJ वन्य\JJ संपदा\N_NN अपना\PR_PRF अलग\N_NN ही\RP_RPD वैशिष्‍ट्य\V_VM रखती\V_VAUX है\V_VAUX ।\RD_PUNC
htd12025	लगभग\QT_QTF 229\QT_QTC वर्गमीटर\QT_QTF क्षेत्र\N_NN में\PSP मनयारा\N_NNP झील\N_NN फैली\V_VM है\V_VAUX ।\RD_PUNC
htd12026	मनयारा\N_NNP झील\N_NNP के\PSP किनारों\N_NST पर\PSP घने\JJ जंगल\N_NN हैं\V_VM ।\RD_PUNC
htd12027	हम\PR_PRP कम\JJ समय\N_NN में\PSP अधिक\JJ से\PSP अधिक\JJ देख\V_VM लेना\V_VAUX चाहते\V_VAUX थे\V_VAUX ।\RD_PUNC
htd12028	लेक\N_NNP मनयारा\N_NNP नेशनल\N_NNP पार्क\N_NNP में\PSP सबसे\RB पहले\N_NST हमें\PR_PRP जंगली\JJ सुअर\N_NN व\CC_CCD जंगली\JJ बिलाव\N_NN दिखाई\V_VM दिए\V_VAUX ।\RD_PUNC
htd12029	सुअरों\N_NN के\PSP लंबे\JJ दाँत\N_NN उन्हें\DM_DMD भयानक\N_NN बना\V_VM रहे\V_VAUX थे\V_VAUX ।\RD_PUNC
htd12030	सुअरों\N_NN के\PSP दाँतों\N_NN में\PSP ही\RP_RPD इनकी\DM_DMD शक्‍ति\N_NN निहित\V_VM होती\V_VAUX है\V_VAUX ।\RD_PUNC
htd12031	सुअर\N_NN इन\DM_DMD दाँतों\N_NN के\PSP सहारे\N_NN कई\PR_PRI अवसरों\N_NN पर\PSP शेर\N_NN से\PSP भी\RP_RPD टक्कर\N_NN लेने\N_NN की\PSP हिम्मत\N_NN जुटा\V_VM लेते\V_VAUX हैं\V_VAUX ।\RD_PUNC
htd12032	मनयारा\N_NNP झील\N_NNP में\PSP पड़े\N_NN सैकड़ों\QT_QTF दरियाई\N_NN घोड़ों\N_NN को\PSP देखकर\V_VM हम\PR_PRP मंत्रमुग्ध\V_VM हो\V_VAUX गए\V_VAUX ।\RD_PUNC
htd12033	कुछ\PR_PRI दरियाई\N_NN घोड़े\N_NN मनयारा\N_NNP झील\N_NNP के\PSP बाहर\N_NST भी\RP_RPD चहलकदमी\V_VM कर\V_VAUX रहे\V_VAUX थे\V_VAUX ।\RD_PUNC
